id	name_en	name_it
-1	Northern Cyprus	Cipro del Nord
-2	Kosovo	Kosovo
-3	Somaliland	Somaliland
4	Afghanistan	Afghanistan
8	Albania	Albania
10	Antarctica	Antartide
12	Algeria	Algeria
16	American Samoa	Samoa Americane
20	Andorra	Andorra
24	Angola	Angola
28	Antigua and Barbuda	Antigua e Barbuda
31	Azerbaijan	Azerbaigian
32	Argentina	Argentina
36	Australia	Australia
40	Austria	Austria
44	Bahamas	Bahamas
48	Bahrain	Bahrain
50	Bangladesh	Bangladesh
51	Armenia	Armenia
52	Barbados	Barbados
56	Belgium	Belgio
60	Bermuda	Bermuda
64	Bhutan	Bhutan
68	Plurinational State of Bolivia	Stato Plurinazionale della Bolivia
70	Bosnia and Herzegovina	Bosnia ed Erzegovina
72	Botswana	Botswana
74	Bouvet Island	Isola di Bouvet
76	Brazil	Brasile
84	Belize	Belize
86	British Indian Ocean Territory	Territorio britannico dell'Oceano Indiano
90	Solomon Islands	Isole Salomone
92	Virgin Islands, British	Isole vergini britanniche
96	Brunei Darussalam	Brunei Darussalam
100	Bulgaria	Bulgaria
104	Myanmar	Birmania (Myanmar)
108	Burundi	Burundi
112	Belarus	Bielorussia
116	Cambodia	Cambogia
120	Cameroon	Camerun
124	Canada	Canada
132	Cape Verde	Capo Verde
136	Cayman Islands	Isole Cayman
140	Central African Republic	Repubblica Centrafricana
144	Sri Lanka	Sri Lanka
148	Chad	Ciad
152	Chile	Cile
156	China	Cina
158	Taiwan, Republic of China	Taiwan (Repubblica di Cina)
162	Christmas Island	Isola di Natale
166	Cocos (Keeling) Islands	Isole Cocos
170	Colombia	Colombia
174	Comoros	Comore
175	Mayotte	Maiotta
178	Republic of Congo	Repubblica del Congo
180	Democratic Republic of the Congo	Repubblica Democratic del Congo
184	Cook Islands	Isole Cook
188	Costa Rica	Costa Rica
191	Croatia	Croazia
192	Cuba	Cuba
196	Cyprus	Cipro
203	Czech Republic	Repubblica Ceca
204	Benin	Benin
208	Denmark	Danimarca
212	Dominica	Dominica
214	Dominican Republic	Repubblica Dominicana
218	Ecuador	Ecuador
222	El Salvador	El Salvador
226	Equatorial Guinea	Guinea equatoriale
231	Ethiopia	Etiopia
232	Eritrea	Eritrea
233	Estonia	Estonia
234	Faroe Islands	Isole Faroe
238	Falkland Islands (Malvinas)	Isole Falkland
239	South Georgia and the South Sandwich Islands	Georgia del Sud ed Isole sandwich meridionali
242	Fiji	Figi
246	Finland	Finlandia
248	Åland Islands	Isole Aland
250	France	Francia
254	French Guiana	Guyana francese
258	French Polynesia	Polinesia francese
260	French Southern Territories	Territori della Francia del sud
262	Djibouti	Gibuti
266	Gabon	Gabon
268	Georgia	Georgia
270	Gambia	Gambia
275	Palestinian Territory, Occupied	Territori palestinesi occupati
276	Germany	Germania
288	Ghana	Gahna
292	Gibraltar	Gibilterra
296	Kiribati	Kiribati
300	Greece	Grecia
304	Greenland	Groenlandia
308	Grenada	Grenada
312	Guadeloupe	Guadalupa
316	Guam	Guam
320	Guatemala	Guatemala
324	Guinea	Guinea
328	Guyana	Guyana
332	Haiti	Haiti
334	Heard Island and McDonald Islands	Isole Heard e McDonald
336	Holy See (Vatican City State)	Santa Sede (Città dello Stato del Vaticano)
340	Honduras	Honduras
344	Hong Kong	Hong Kong
348	Hungary	Ungheria
352	Iceland	Islanda
356	India	India
360	Indonesia	Indonesia
364	Iran, Islamic Republic of	Iran
368	Iraq	Iraq
372	Ireland	Irlanda
376	Israel	Israele
380	Italy	Italia
